Key,Reviewed By,Human Key,Year,Author,Title,Publication Title,DOI,lat_min,lat_max,lon_min,lon_max,Notes,Data Type,Type of Study,Category,Relevant,Description,Notes_sci,Notes of technical interest,Dataset Number,Type,Archive Location,Freely Available?,Archive Name,Acquisition Start Year,Acquisition End Year,Camera calib?,Flight Height [m],Height reference,GSD [m],Scale,Scanner resolution,Scanner resolution units,No. Images,Notes_data,Method,Software,Version,GCPs,Fiducial Marks,Pre-processing,Simplified Pre-processing Note,simplified geometric preprocessing,simplified radiometric preprocessing,Pre-processing Note,Workflow Note,Related paper,Residuals to CPs [m] avg,Ground control source XY,Ground control source Z,Ground control source group,Ground control accuracy [m] XY,Ground control accuracy [m] Z,Ground control accuracy [m] avg,No. GCPs,No. GCPs simplified,Residuals to GCPs [m] XY,Residuals to GCPs [m] Z,Residuals to GCPs [m] avg,No. CPs,Residuals to CPs [m] XY,Residuals to CPs [m] Z,Residuals to CPs [m] avg.1,Comparison data,Comparison data simplified,Comparison source group,Accuracy comparison data [m] XY,Accuracy comparison data [m] Z,Accuracy comparison [m] avg,Residuals to comparison [m] XY,Residuals to comparison [m] Z,Residuals to comparison [m] avg,comparison metric,Post-Processing,Notes_acc,Unnamed: 30,Unnamed: 31,Unnamed: 32,Output,Orthophoto resolution [m],DEM resolution [m],note
2DJYIF82,Bob,"Fox and Cziferszky 2008, The Photogrammetric Record (2DJYIF82)",2008,Fox and Cziferszky,Unlocking the time capsule of historic aerial photography to measure changes in Antarctic Peninsula glaciers,The Photogrammetric Record,10.1111/j.1477-9730.2008.00463.x,-67.718758,-67.70338,-67.678583,-67.476548,"Moider Glacier and Pourquoi Pas Island, Antarctica",Aerial,Both,Glaciology,yes,Antarctic Peninsula: 30.000 hist aerial imgs back to 1940: use for glacier height reconstruction over 60y period,,,2.0,Aerial,UK,unclear,British Antarctic Survey,1957.0,1957.0,given,,,0.5,1:27000,20.0,μm,11,,Photogrammetric,ERDAS Imagine: Leica Photogrammetry Suite,,yes,yes,not specified,,,,,,,"Fox and Cziferszky 2008, The Photogrammetric Record (2DJYIF82)",dGPS,dGPS,point-based,,,,20,20,0.8,1.3,0.97,,,,,,,,,,,,,,RMSE,,Residuals to GCPS (X/Y):,"1.0, 0.6",,,3D (point cloud/DEM),,,resolution not reported
2DJYIF82,Bob,"Fox and Cziferszky 2008, The Photogrammetric Record (2DJYIF82)",2008,Fox and Cziferszky,Unlocking the time capsule of historic aerial photography to measure changes in Antarctic Peninsula glaciers,The Photogrammetric Record,10.1111/j.1477-9730.2008.00463.x,-67.718758,-67.70338,-67.678583,-67.476548,"Moider Glacier and Pourquoi Pas Island, Antarctica",Aerial,Both,Glaciology,yes,Antarctic Peninsula: 30.000 hist aerial imgs back to 1940: use for glacier height reconstruction over 60y period,,,3.0,Aerial,UK,unclear,British Antarctic Survey,1989.0,1989.0,given,,,1.4,1:70000,20.0,μm,6,,Photogrammetric,ERDAS Imagine: Leica Photogrammetry Suite,,yes,yes,not specified,,,,,,,"Fox and Cziferszky 2008, The Photogrammetric Record (2DJYIF82)",dGPS,dGPS,point-based,,,,12,12,0.95,1.2,1.03,,,,,,,,,,,,,,RMSE,,Residuals to GCPS (X/Y):,"1.0, 0.9",,,3D (point cloud/DEM),,,resolution not reported
2DJYIF82,Bob,"Fox and Cziferszky 2008, The Photogrammetric Record (2DJYIF82)",2008,Fox and Cziferszky,Unlocking the time capsule of historic aerial photography to measure changes in Antarctic Peninsula glaciers,The Photogrammetric Record,10.1111/j.1477-9730.2008.00463.x,-67.718758,-67.70338,-67.678583,-67.476548,"Moider Glacier and Pourquoi Pas Island, Antarctica",Aerial,Both,Glaciology,yes,Antarctic Peninsula: 30.000 hist aerial imgs back to 1940: use for glacier height reconstruction over 60y period,,,4.0,Aerial,UK,unclear,British Antarctic Survey,1991.0,1991.0,given,,,0.4,1:20000,20.0,μm,5,,Photogrammetric,ERDAS Imagine: Leica Photogrammetry Suite,,yes,yes,not specified,,,,,,,"Fox and Cziferszky 2008, The Photogrammetric Record (2DJYIF82)",dGPS,dGPS,point-based,,,,14,14,0.25,0.5,0.33,,,,,,,,,,,,,,RMSE,,Residuals to GCPS (X/Y):,"0.2, 0.3",,,3D (point cloud/DEM),,,resolution not reported
2DJYIF82,Bob,"Fox and Cziferszky 2008, The Photogrammetric Record (2DJYIF82)",2008,Fox and Cziferszky,Unlocking the time capsule of historic aerial photography to measure changes in Antarctic Peninsula glaciers,The Photogrammetric Record,10.1111/j.1477-9730.2008.00463.x,-67.718758,-67.70338,-67.678583,-67.476548,"Moider Glacier and Pourquoi Pas Island, Antarctica",Aerial,Both,Glaciology,yes,Antarctic Peninsula: 30.000 hist aerial imgs back to 1940: use for glacier height reconstruction over 60y period,,,5.0,Aerial,UK,unclear,British Antarctic Survey,2005.0,2005.0,given,,,0.6,1:30000,20.0,μm,53,,Photogrammetric,ERDAS Imagine: Leica Photogrammetry Suite,,yes,yes,not specified,,,,,,,"Fox and Cziferszky 2008, The Photogrammetric Record (2DJYIF82)",dGPS,dGPS,point-based,< 0.1,< 0.1,0.1,5,5,0.16,0.19,0.17,,,,,,,,,,,,,,max dev,,Residuals to GCPS (X/Y):,"0.19, 0.13",,,3D (point cloud/DEM),,,resolution not reported
2HQXTLS6,Bob,"Bhattacharya et al. 2018, 2018 4th International Conference on Recent Advances in Information Technology (2HQXTLS6)",2018,Bhattacharya et al.,Multi-decadal mass budget and area change of some eastern Himalayan glaciers (Nepal-Sikkim) using remote sensing techniques,2018 4th International Conference on Recent Advances in Information Technology,10.1109/RAIT.2018.8388976,27.25,28.25,87.5,89.0,Eastern Indian Himalaya,Satellite,Application,Glaciology,yes,"glacier changes in HMA using KH-9, SRTM, and ASTER",,,1.0,Satellite,USA,yes,USGS (United States Geological Survey),1975.0,1975.0,partial,,,8.0,,14.0,μm,2,"KH-9 Hexagon image, processed in LPS 2014 with frame camera model and focal length of 305 mm; resampled using reseau marks; ",Photogrammetric,ERDAS Imagine: Leica Photogrammetry Suite,2014,yes,no,yes,"resampling (reseau crosses), mosaicing","mosaicing, undistortion (reseau crosses)",,images resampled using reseau marks and halves mosaicked together,153 automatically-generated tie points used in addition to manually-collected GCPs,,"Bhattacharya et al. 2018, 2018 4th International Conference on Recent Advances in Information Technology (2HQXTLS6)",,,,,,,a number,a number,5.52,5.52,5.52,,,,,"SatImgs (Landsat ETM+), DEM (SRTM)","Imgs, SRTM",area-based,,,,,,,Pixel dev: 0.69 px,Coregistration,transfer pixels in object space? ,,,,3D (point cloud/DEM),8.0,30.0,
2KUDYE4T,,"Luo et al. 2019, Remote Sensing of Environment (2KUDYE4T)",2019,Luo et al.,Airborne and spaceborne remote sensing for archaeological and cultural heritage applications: A review of the century (1907–2017),Remote Sensing of Environment,10.1016/j.rse.2019.111280,,,,,,Satellite,Application,Archeology,no,review of archaeological applications of remote sensing; could be useful to find references,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2WCJZANX,,"Farías-Barahona et al. 2020, Remote Sensing (2WCJZANX)",2020,Farías-Barahona et al.,"60 Years of Glacier Elevation and Mass Changes in the Maipo River Basin, Central Andes of Chile",Remote Sensing,10.3390/rs12101658,,,,,,Aerial,Application,Glaciology,no,georeferenced scanned maps & digitizing 50 m contour line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2XDGW8V2,Amaury,"Belart et al. 2020, Frontiers in Earth Science (2XDGW8V2)",2020,Belart et al.,"Mass Balance of 14 Icelandic Glaciers, 1945–2017: Spatial Variations and Links With Climate",Frontiers in Earth Science,10.3389/feart.2020.00163,63.0,66.5,-24.0,-15.0,Multiple glaciers around Iceland,Aerial,Application,Glaciology,yes,Glacier mass balance of Icelandic glacier,,,1.0,Aerial,Iceland,unclear,National Land Survey of Iceland,1945.0,1995.0,computed,,,,,,,836,,Photogrammetric,MicMac,,yes,yes,yes,"cropping, masking","cropping, masking",,cropping,,"Belart et al. 2019, Journal of Glaciology (G7RKHNSY)","Belart et al. 2020, Frontiers in Earth Science (2XDGW8V2)",,,,,,,11-20,16,,,,,,,,LIDAR DEM,ALS-DEM,area-based,,,,,,,,Coregistration,,,,,3D (point cloud/DEM),0.5,5.0,
2XDGW8V2,Amaury,"Belart et al. 2020, Frontiers in Earth Science (2XDGW8V2)",2020,Belart et al.,"Mass Balance of 14 Icelandic Glaciers, 1945–2017: Spatial Variations and Links With Climate",Frontiers in Earth Science,10.3389/feart.2020.00163,63.0,66.5,-24.0,-15.0,Multiple glaciers around Iceland,Aerial,Application,Glaciology,yes,Glacier mass balance of Icelandic glacier,,,2.0,Satellite,USA,yes,USGS (United States Geological Survey),1980.0,1980.0,partial,,,6.0,,,,2,Hexagon (KH-9),Photogrammetric,MicMac,,yes,yes,yes,"cropping, masking","cropping, masking",,cropping,,"Belart et al. 2019, Journal of Glaciology (G7RKHNSY)","Belart et al. 2020, Frontiers in Earth Science (2XDGW8V2)",Lidar DEM ,Lidar DEM ,area-based,,,,65,65,,,,,,,,,,,,,,,,,,,,,,,3D (point cloud/DEM),5.0,20.0,
35MF78DP,Bob,"Walstra et al. 2007, Quarterly Journal of Engineering Geology and Hydrogeology (35MF78DP)",2007,Walstra et al.,Historical aerial photographs for landslide assessment: two case histories,Quarterly Journal of Engineering Geology and Hydrogeology,10.1144/1470-9236/07-011,53.345,53.353,-1.821,-1.798,"Mam Tor area, Derbyshire, UK",Aerial,Application,Geomorphology,yes,Landslide evolution,,,1.0,Aerial,UK,unclear,Central Register of Air Photography for Wales,1951.0,1951.0,partial,,,0.065,1:4300,15.0,μm,,,Photogrammetric,ERDAS Imagine: Leica Photogrammetry Suite,9,yes,yes,not specified,,,,,,,"Walstra et al. 2007, Quarterly Journal of Engineering Geology and Hydrogeology (35MF78DP)",dGPS,dGPS,point-based,0.01,0.01,0.01,27,27,1.5,4.21,2.4,,,,,,,,,,,,,,RMSE,,,,,,3D (point cloud/DEM),0.45,2.0,
35MF78DP,Bob,"Walstra et al. 2007, Quarterly Journal of Engineering Geology and Hydrogeology (35MF78DP)",2007,Walstra et al.,Historical aerial photographs for landslide assessment: two case histories,Quarterly Journal of Engineering Geology and Hydrogeology,10.1144/1470-9236/07-011,53.345,53.353,-1.821,-1.798,"Mam Tor area, Derbyshire, UK",Aerial,Application,Geomorphology,yes,Landslide evolution,,,2.0,Aerial,UK,unclear,Cambridge University Collection of Aerial Photographs,1990.0,1990.0,given,,,0.18,1:13000,14.0,μm,,,Photogrammetric,ERDAS Imagine: Leica Photogrammetry Suite,9,yes,yes,not specified,,,,,,,"Walstra et al. 2007, Quarterly Journal of Engineering Geology and Hydrogeology (35MF78DP)",dGPS,dGPS,point-based,0.01,0.01,0.01,27,27,0.62,1.16,0.8,,,,,,,,,,,,,,RMSE,,,,,,3D (point cloud/DEM),0.27,1.0,
35MF78DP,Bob,"Walstra et al. 2007, Quarterly Journal of Engineering Geology and Hydrogeology (35MF78DP)",2007,Walstra et al.,Historical aerial photographs for landslide assessment: two case histories,Quarterly Journal of Engineering Geology and Hydrogeology,10.1144/1470-9236/07-011,53.345,53.353,-1.821,-1.798,"Mam Tor area, Derbyshire, UK",Aerial,Application,Geomorphology,yes,Landslide evolution,,,3.0,Aerial,UK,unclear,Cambridge University Collection of Aerial Photographs,1995.0,1995.0,given,,,0.13,1:8000,16.0,μm,,,Photogrammetric,ERDAS Imagine: Leica Photogrammetry Suite,9,yes,yes,not specified,,,,,,,"Walstra et al. 2007, Quarterly Journal of Engineering Geology and Hydrogeology (35MF78DP)",dGPS,dGPS,point-based,0.01,0.01,0.01,27,27,0.31,0.54,0.39,,,,,,,,,,,,,,RMSE,,,,,,3D (point cloud/DEM),65.0,1.0,
35MF78DP,Bob,"Walstra et al. 2007, Quarterly Journal of Engineering Geology and Hydrogeology (35MF78DP)",2007,Walstra et al.,Historical aerial photographs for landslide assessment: two case histories,Quarterly Journal of Engineering Geology and Hydrogeology,10.1144/1470-9236/07-011,53.345,53.353,-1.821,-1.798,"Mam Tor area, Derbyshire, UK",Aerial,Application,Geomorphology,yes,Landslide evolution,,,4.0,Aerial,UK,unclear,Infoterra,1999.0,1999.0,given,,,0.27,1:6400,42.0,μm,,,Photogrammetric,ERDAS Imagine: Leica Photogrammetry Suite,9,yes,yes,not specified,,,,,,,"Walstra et al. 2007, Quarterly Journal of Engineering Geology and Hydrogeology (35MF78DP)",dGPS,dGPS,point-based,0.01,0.01,0.01,27,27,0.31,0.21,0.28,,,,,,,,,,,,,,RMSE,,,,,,3D (point cloud/DEM),,1.0,no orthophoto
35MF78DP,Bob,"Walstra et al. 2007, Quarterly Journal of Engineering Geology and Hydrogeology (35MF78DP)",2007,Walstra et al.,Historical aerial photographs for landslide assessment: two case histories,Quarterly Journal of Engineering Geology and Hydrogeology,10.1144/1470-9236/07-011,53.345,53.353,-1.821,-1.798,"Mam Tor area, Derbyshire, UK",Aerial,Application,Geomorphology,yes,Landslide evolution,,,5.0,Aerial,UK,unclear,NMR (National Monuments Record),1953.0,1953.0,partial,,,0.45,1:10700,42.0,μm,,,Photogrammetric,ERDAS Imagine: Leica Photogrammetry Suite,9,yes,yes,not specified,,,,,,,"Walstra et al. 2007, Quarterly Journal of Engineering Geology and Hydrogeology (35MF78DP)",dGPS,dGPS,point-based,0.01,0.01,0.01,27,27,0.6,1.67,0.96,,,,,,,,,,,,,,RMSE,,,,,,3D (point cloud/DEM),0.41,2.0,
35MF78DP,Bob,"Walstra et al. 2007, Quarterly Journal of Engineering Geology and Hydrogeology (35MF78DP)",2007,Walstra et al.,Historical aerial photographs for landslide assessment: two case histories,Quarterly Journal of Engineering Geology and Hydrogeology,10.1144/1470-9236/07-011,53.345,53.353,-1.821,-1.798,"Mam Tor area, Derbyshire, UK",Aerial,Application,Geomorphology,yes,Landslide evolution,,,6.0,Aerial,UK,unclear,Central Register of Air Photography for Wales,1955.0,1955.0,partial,,,,,15.0,μm,,oblique photographs,Photogrammetric,ERDAS Imagine: Leica Photogrammetry Suite,9,yes,yes,not specified,,,,,,,"Walstra et al. 2007, Quarterly Journal of Engineering Geology and Hydrogeology (35MF78DP)",dGPS,dGPS,point-based,0.01,0.01,0.01,27,27,0.43,0.41,0.42,,,,,,,,,,,,,,RMSE,,,,,,3D (point cloud/DEM),0.18,1.0,
35MF78DP,Bob,"Walstra et al. 2007, Quarterly Journal of Engineering Geology and Hydrogeology (35MF78DP)",2007,Walstra et al.,Historical aerial photographs for landslide assessment: two case histories,Quarterly Journal of Engineering Geology and Hydrogeology,10.1144/1470-9236/07-011,53.345,53.353,-1.821,-1.798,"Mam Tor area, Derbyshire, UK",Aerial,Application,Geomorphology,yes,Landslide evolution,,,7.0,Aerial,UK,unclear,NMR (National Monuments Record),1971.0,1971.0,partial,,,0.25,1:16400,15.0,μm,,,Photogrammetric,ERDAS Imagine: Leica Photogrammetry Suite,9,yes,yes,not specified,,,,,,,"Walstra et al. 2007, Quarterly Journal of Engineering Geology and Hydrogeology (35MF78DP)",dGPS,dGPS,point-based,0.01,0.01,0.01,27,27,0.42,0.47,0.44,,,,,,,,,,,,,,RMSE,,,,,,3D (point cloud/DEM),0.25,1.0,
35MF78DP,Bob,"Walstra et al. 2007, Quarterly Journal of Engineering Geology and Hydrogeology (35MF78DP)",2007,Walstra et al.,Historical aerial photographs for landslide assessment: two case histories,Quarterly Journal of Engineering Geology and Hydrogeology,10.1144/1470-9236/07-011,53.345,53.353,-1.821,-1.798,"Mam Tor area, Derbyshire, UK",Aerial,Application,Geomorphology,yes,Landslide evolution,,,8.0,Aerial,UK,unclear,BKS Surveys,1971.0,1971.0,given,,,0.41,1:27200,15.0,μm,,,Photogrammetric,ERDAS Imagine: Leica Photogrammetry Suite,9,yes,yes,not specified,,,,,,,"Walstra et al. 2007, Quarterly Journal of Engineering Geology and Hydrogeology (35MF78DP)",dGPS,dGPS,point-based,0.01,0.01,0.01,27,27,0.4,0.74,0.51,,,,,,,,,,,,,,RMSE,,,,,,3D (point cloud/DEM),0.26,1.0,
